name,dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
automotive_bitcount,1,2010.64,1777.07,2504.95,1715.03,1695.72,1770.89,1693.86,1736.58,2037.08,1644.07,1968.27,1844.47,1670.08,1912.89,1734.33,1699.93,1791.88,1779.92,1631.35,1600.29,1807.95,1684.09,2037.6,1731.2,1942.54,1714.52,1973.4,2308.72,1772.44,1957.72,1574.88,1992.52,1882.34,1839.29,1670.66,1859.55,1975.21,2071.25,1525.69,1894.53,1784.93,1770.07,1929.33,1693.55,1770.32,1654.91,2086.02,1771.16,1658.85,1994.87,1645.81,1649.51,1671.61,1989.76,1711.21,1849.55,2052.45,1767.34,1864.44,1955.14,1811.26,1770.25,1944.61,1857.86,1952.51,1854.23,2486.43,1671.86,1995.74,1868.25,1584.21,1730.0,1677.59,1638.11,1584.9,1711.61,1716.87,1862.55,1934.72,1981.27,1797.39,1973.59,1806.85,1915.87,2503.05,1925.23,2023.21,1857.37,1772.73,1607.24,2017.4,1675.85,1741.12,2048.65,1705.79,2010.69,1985.32,1959.17,2188.46,1532.67,2001.67,1957.95,1891.31,1682.84,2061.93,1700.6,1773.9,2333.69,2019.45,1992.38,1531.4,1658.75,1717.89,2068.7,1916.01,1951.43,1927.72,1812.36,1715.11,1798.69,1890.53,1807.48,1953.69,1805.65,1705.18,1833.63,1541.96,1647.96
automotive_bitcount,2,3302.71,3251.86,3295.54,3143.13,3151.09,3867.33,3567.79,3146.86,3340.75,3148.46,3410.16,3493.16,3163.24,3280.47,3384.47,3160.47,3494.67,3333.95,3189.73,3161.88,3419.58,3403.69,3118.66,3752.62,3690.67,3163.76,3577.77,3309.51,3486.7,3728.64,3041.93,3257.4,3088.52,3172.23,3200.09,3122.21,3421.04,3192.79,3018.85,3453.15,3227.77,3203.01,3069.93,2982.37,3239.03,3161.52,3461.64,3357.67,3246.18,3194.99,3096.3,3079.84,3141.74,3362.68,3223.79,3155.93,3176.75,3503.56,3060.46,3255.8,3331.75,3100.1,3498.57,3206.29,3469.54,3409.97,3178.03,3031.5,3713.4,3282.82,3897.71,3134.54,3407.82,3148.41,3286.27,3319.52,3572.86,3637.32,3207.68,3219.62,3242.98,3261.75,3125.93,3382.32,3346.23,3450.62,3344.77,3315.62,3335.29,3144.7,3243.4,4047.53,3167.0,3503.01,3170.12,3125.26,3265.56,3049.18,3077.03,3273.33,3129.73,3220.34,3311.79,2968.41,4371.91,3155.43,3468.8,3172.57,3352.69,3246.49,2982.92,3192.91,3193.51,3337.48,3207.7,3461.69,3222.33,3657.52,3206.62,3059.91,3525.13,3508.97,3166.43,3255.14,3218.23,3258.15,3489.92,2972.7
automotive_bitcount,3,4770.88,4731.59,4645.23,4557.01,4782.62,4785.14,4666.93,4548.82,4835.1,4795.02,4990.03,4558.11,4725.65,5174.3,4570.11,5091.89,5466.06,4951.87,5066.8,4751.61,5271.19,4855.67,4668.74,4944.44,4986.53,4765.54,4740.21,4867.38,4922.13,4927.2,4625.2,5433.93,5149.64,4838.65,4843.9,4531.32,4783.37,4562.24,4457.11,4886.69,4951.76,4736.61,4380.69,4458.55,4670.05,4651.33,4722.85,4439.76,4769.04,5371.99,4505.44,4657.97,4767.87,4722.94,4567.98,5653.92,4664.36,4745.52,4432.86,4794.37,4811.52,4587.21,4697.21,4554.42,4813.49,5153.38,4558.3,4574.14,4694.92,4912.6,4951.03,4675.19,4940.71,4732.92,4925.54,5347.09,4884.77,5189.86,5410.48,4892.61,4872.45,4944.94,4724.69,4929.57,5033.59,4941.58,4666.38,4918.39,5190.26,4926.7,5196.09,4841.97,4751.03,4876.44,4740.89,4769.29,4981.74,4710.35,4838.48,4435.19,4545.79,4575.9,5488.7,4440.45,4829.43,4609.8,4554.8,4884.82,5216.11,4756.24,4651.6,4909.16,4589.16,4735.8,5943.41,4601.47,5256.31,6090.74,4709.12,4784.4,4812.05,4689.77,4630.46,4697.84,4657.4,4801.73,4555.95,4445.07
automotive_bitcount,4,6314.6,6372.31,6286.89,6103.12,6558.69,6704.09,6329.07,6066.41,6889.66,6675.84,6404.59,6155.0,6695.59,6419.11,6219.73,6127.33,6632.24,6986.98,6843.97,6342.16,6532.92,6592.22,6511.52,6654.77,6474.24,6435.02,6590.53,6596.07,6430.38,6744.07,6395.11,6357.48,6147.83,6239.59,6261.79,6339.08,6064.8,5936.32,6308.22,5898.46,6126.34,6099.93,6431.09,6041.95,6673.73,6104.53,6338.37,5911.74,6792.29,6161.13,6143.08,6377.27,6209.94,6205.63,6232.47,6498.27,6611.96,6297.83,6882.46,6482.58,6395.99,6167.12,5993.78,6775.73,6484.64,6554.94,6411.88,6133.65,7036.76,6786.04,6152.26,6407.83,6673.85,6826.39,7026.87,6160.05,6658.11,6828.12,6522.05,6453.97,6940.92,6527.08,6769.02,6737.02,6618.55,6655.23,6275.18,6426.61,6557.56,6801.95,6411.68,6271.73,6290.4,6333.47,6306.2,6222.98,6261.19,6091.49,5888.16,6040.74,6039.88,6000.37,6025.7,6015.9,6772.45,6123.21,6319.11,6234.82,6233.33,6156.51,6142.0,6256.4,6759.77,6321.65,6081.08,6376.85,6141.29,6426.51,6804.73,6339.5,6319.13,6112.46,6030.78,6017.36,6037.24,6222.47,6226.93,6004.48
automotive_bitcount,5,7889.87,8459.09,7816.15,7736.7,8059.82,8181.35,7741.31,7616.85,8208.66,7998.47,7951.12,8009.5,8105.63,8311.97,8078.44,7650.9,8607.56,8577.95,7815.37,8060.08,8122.41,8139.64,7778.26,7898.73,8347.28,8061.77,8062.54,8237.19,9058.7,8046.07,7727.49,7915.08,7734.65,8193.68,7743.16,7505.19,7642.52,7667.67,7649.61,8519.51,7793.24,7785.65,7710.63,7683.68,7569.94,7729.48,7469.62,7649.54,8024.73,7956.41,7576.38,8240.38,7654.61,7836.69,7666.69,7866.3,7643.76,7604.28,7852.35,7427.42,8131.6,7588.41,8033.64,7765.67,8462.95,8404.57,8135.47,7810.13,7910.6,8139.31,8135.53,7742.61,8096.66,7968.18,7966.73,7703.68,7967.81,8103.98,7964.4,7802.76,8442.17,8140.08,8056.41,8037.12,8424.25,8346.19,7985.11,8218.9,8236.19,7961.96,8292.1,8015.6,8287.75,7918.32,8317.3,7712.11,7930.41,7856.89,7448.27,7378.8,7543.61,7573.83,7562.1,7559.94,7613.62,7888.43,8262.04,7534.58,7824.37,7565.81,7804.89,7463.94,8039.81,7741.68,7877.18,7702.08,7727.71,7609.09,7875.76,7655.07,7902.48,7602.48,7674.21,7814.89,7585.93,7942.61,7551.4,7593.39
telecom_adpcm_c,1,27.69,44.708,89.742,86.192,46.458,43.467,44.912,86.711,87.29,89.783,87.565,87.199,82.224,90.953,44.118,87.85,89.966,28.656,46.499,91.278,60.415,88.704,45.471,85.541,44.108,87.626,43.915,91.278,43.61,87.626,88.45,90.83,91.929,44.423,45.766,43.569,47.953,44.159,49.347,88.491,48.543,35.533,44.505,90.658,47.374,88.857,88.999,29.734,83.466,28.239,45.827,44.596,81.319,85.887,87.748,88.989,93.211,88.643,88.837,45.207,47.028,42.094,89.62,91.797,45.319,88.694,46.682,84.412,35.228,27.537,46.57,85.185,85.826,87.392,44.983,46.621,45.929,87.931,36.082,26.825,45.39,43.976,89.62,47.516,87.88,88.837,89.203,47.048,86.172,87.148,89.996,28.686,84.005,86.782,46.112,69.997,47.872,87.189,91.563,63.12,28.89,35.675,92.967,87.087,93.72,44.963,46.478,91.248,48.116,86.639,27.903,47.404,72.235,44.698,89.854,47.099,45.532,88.521,27.995,28.971,90.912,45.675,89.305,46.02,74.585,88.247,45.797,91.929
telecom_adpcm_c,2,1577.66,1648.85,1841.11,1723.52,1639.7,1999.82,1450.43,1904.54,1597.17,1677.87,2358.82,2310.22,2341.85,1761.15,1551.31,1336.22,2026.52,2015.34,1491.62,2504.83,1939.75,1997.77,1770.16,2425.43,2101.03,2060.15,1328.12,2048.35,1967.13,2035.6,2362.86,1668.2,1746.16,1826.09,2086.9,1379.06,2484.63,1972.72,1832.55,1833.21,1811.66,1710.54,1624.82,2245.39,1849.4,2315.91,1894.69,1966.8,2444.36,1647.12,1773.18,1686.12,1870.54,1749.19,1348.34,1730.03,2527.87,1635.04,3065.81,1449.41,1533.44,1545.05,1609.07,1682.51,1844.96,1331.81,1466.32,1731.87,1351.11,1268.38,1565.4,1775.74,1639.58,1839.03,1376.33,1531.51,1591.24,1550.37,1818.91,1271.92,1930.07,1718.12,1433.88,1443.33,1367.34,1287.12,1761.55,1863.35,1612.96,1572.25,1542.61,1195.79,2305.25,2005.39,2370.42,1702.5,2086.76,1993.61,2568.81,1654.8,1981.32,1336.52,2190.14,2710.61,1479.82,1511.63,1596.09,2459.94,1819.65,2306.83,1552.71,1661.63,1922.4,2233.4,1673.7,1325.04,1342.02,1367.16,1364.93,2067.43,2409.56,2224.38,2024.85,1553.34,2189.37,1783.95,1570.03,1855.96
telecom_adpcm_c,3,182.556,173.452,146.657,138.143,139.862,230.072,147.776,140.483,138.845,139.648,144.094,141.581,143.626,255.076,145.325,140.91,109.385,140.686,144.521,143.606,141.693,141.744,144.765,144.419,231.567,136.709,145.386,145.081,143.555,140.747,145.549,111.267,181.854,140.951,164.378,133.504,164.52,140.472,253.632,83.811,154.765,140.33,144.877,145.335,153.097,139.211,233.327,112.773,153.88,83.069,145.009,147.552,154.093,139.689,147.217,146.016,150.36,140.747,145.762,130.239,199.209,189.362,145.752,146.454,140.127,137.533,200.846,138.58,109.273,92.153,147.146,141.561,85.968,140.92,132.599,145.844,142.171,138.753,130.239,101.145,143.84,137.339,145.549,128.896,283.295,77.83,138.875,102.275,143.819,126.994,146.057,144.267,143.463,124.634,142.71,130.198,161.011,139.567,164.093,136.383,126.048,139.272,163.93,137.288,144.979,137.36,224.792,147.268,187.531,138.204,145.793,226.868,150.706,128.072,147.359,145.192,108.917,225.311,147.024,146.362,153.971,140.971,111.084,145.864,153.056,139.943,222.931,146.678
telecom_adpcm_c,4,197.51,199.32,225.922,303.172,191.823,228.149,369.975,303.66,283.6,205.129,270.152,239.848,312.002,204.152,208.038,207.214,142.517,179.769,204.468,313.232,310.282,187.388,189.117,313.497,257.65,236.287,208.282,190.867,223.806,308.278,205.943,357.279,240.957,211.985,232.564,179.769,190.053,182.892,264.689,293.701,209.951,181.539,211.182,206.584,253.092,178.426,141.581,215.21,219.574,133.789,190.562,202.667,199.768,194.478,230.713,190.948,200.409,196.482,205.546,221.995,245.28,296.153,207.082,190.247,191.152,197.266,182.902,302.795,184.601,176.005,211.06,454.081,190.501,237.803,186.147,172.719,297.241,221.039,218.801,234.446,312.368,205.627,188.914,224.538,192.881,194.122,208.832,182.739,208.262,205.404,312.49,311.676,189.433,208.669,313.609,179.83,197.113,197.489,200.399,194.743,159.78,198.944,283.02,199.91,253.916,265.584,190.023,205.485,224.457,195.262,206.319,219.981,331.278,195.648,188.751,198.059,379.73,237.966,188.253,242.371,191.081,179.036,239.929,310.76,203.054,195.526,205.831,187.571
telecom_adpcm_c,5,167.358,207.998,191.05,449.31,238.373,196.91,184.591,350.769,222.392,183.533,189.748,306.112,221.171,240.896,234.528,165.609,239.705,274.455,188.629,251.424,221.975,306.63,212.443,172.211,206.004,175.608,292.938,220.581,285.98,185.425,236.003,211.487,236.796,179.637,233.541,207.347,229.482,343.943,214.783,195.679,148.743,195.435,188.843,359.365,198.517,211.233,166.514,210.419,235.809,170.41,237.742,206.889,414.449,263.682,237.915,238.8,252.675,225.026,211.09,205.821,215.068,213.786,196.737,205.343,211.823,296.773,241.597,228.424,142.69,135.864,191.793,227.142,178.375,186.493,209.819,181.732,238.851,203.44,163.381,176.697,206.411,216.817,169.24,236.705,273.214,255.31,206.685,238.057,238.617,307.383,190.226,214.366,224.528,318.563,249.135,206.879,196.828,159.77,213.593,210.347,207.174,208.72,181.681,180.593,218.374,223.765,189.83,166.85,238.2,212.392,240.143,207.113,215.576,221.832,430.644,181.213,220.215,180.186,163.3,262.299,411.316,210.5,195.76,188.873,220.774,173.299,205.18,206.696
