,benchmark,dataset,name,run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,cBench,1,telecom_CRC32,0,0.0551,0.0491,0.0531,0.0481,0.0531,0.0541,0.0531,0.0541,0.0561,0.0511,0.0511,0.0501,0.0481,0.0561,0.0561,0.0521,0.0511,0.0551,0.0561,0.0531,0.0511,0.0551,0.0571,0.0601,0.0491,0.0531,0.0561,0.0511,0.0591,0.0541,0.0481,0.0561,0.0511,0.0511,0.0541,0.0561,0.0481,0.0581,0.0551,0.0491,0.0561,0.0581,0.0521,0.0561,0.0511,0.0591,0.0531,0.0541,0.0621,0.0571,0.0561,0.0551,0.0541,0.0541,0.0581,0.0541,0.0621,0.0561,0.0541,0.0591,0.0571,0.0551,0.0581,0.0531,0.0561,0.0571,0.0541,0.0571,0.0581,0.0561,0.0811,0.0531,0.0541,0.0571,0.0541,0.0491,0.0591,0.0581,0.0531,0.0531,0.0541,0.0581,0.0531,0.0561,0.0531,0.0521,0.0571,0.0611,0.0561,0.0541,0.0551,0.0531,0.0601,0.0551,0.0531,0.0601,0.0571,0.0521,0.0551,0.0581,0.0581,0.0561,0.0561,0.0591,0.0561,0.0531,0.0551,0.0581,0.0581,0.0551,0.0561,0.0561,0.0561,0.0561,0.0591,0.0561,0.0531,0.0601,0.0531,0.0561,0.0571,0.0571,0.0551,0.0601,0.0571,0.0551,0.0561,0.0591
1,cBench,2,telecom_CRC32,0,3.4261,3.1661,3.2291,3.0751,3.4081,3.3201,2.9811,3.2441,3.2261,3.2601,3.1711,3.3401,3.4331,3.3991,3.2771,3.1181,3.5151,3.3541,3.5271,3.1671,3.6731,3.0021,3.3151,3.3181,3.1761,3.3861,3.3991,3.3771,3.3521,3.2881,3.5261,3.2961,3.3591,3.6091,3.1711,3.3351,2.9911,3.2391,3.1751,2.9951,3.3251,3.3981,3.2451,3.3991,3.1631,3.6211,3.3691,3.5541,3.4911,3.4211,3.5501,3.6061,3.4661,3.6251,3.3801,3.0011,3.4011,3.4711,3.3191,3.5331,3.4001,3.2331,3.6231,3.3581,3.2631,3.4971,3.3541,3.4731,3.6191,3.3581,3.6121,3.4581,3.6191,3.4761,3.2331,3.1791,3.3871,3.3971,3.3101,3.4121,3.4011,3.2581,3.3981,3.5611,3.4881,3.3591,3.4101,3.4681,3.5101,3.6211,3.3701,3.5121,3.4551,3.6211,3.3981,3.3211,3.4001,3.4431,3.5531,3.5421,3.3661,3.5571,3.4521,3.4911,3.4531,3.5431,3.4901,3.4671,3.4511,3.3931,3.3961,3.5381,3.3581,3.5641,3.6251,3.2681,3.6251,3.6201,3.5461,3.3651,3.4531,3.7751,3.4491,3.4781,3.4631,3.4531,3.5461,3.5451
2,cBench,3,telecom_CRC32,0,0.2191,0.2221,0.2111,0.2221,0.2051,0.2141,0.2241,0.2111,0.1971,0.1991,0.2191,0.2201,0.2101,0.2161,0.2141,0.2081,0.2271,0.2191,0.2261,0.2031,0.2161,0.2051,0.2401,0.2181,0.2231,0.2221,0.2201,0.2161,0.2281,0.2171,0.1981,0.2271,0.2211,0.2261,0.1991,0.2181,0.1931,0.2151,0.2171,0.2201,0.2381,0.2171,0.2391,0.2301,0.2041,0.2341,0.2161,0.2291,0.2271,0.2181,0.2151,0.2321,0.2321,0.2311,0.2201,0.1961,0.2081,0.2231,0.2201,0.2261,0.2231,0.2131,0.2271,0.2271,0.2951,0.2261,0.2161,0.2261,0.2311,0.2201,0.2291,0.2321,0.2261,0.2211,0.2211,0.1971,0.2091,0.2241,0.2171,0.2191,0.2281,0.2171,0.2221,0.2331,0.2231,0.2191,0.2251,0.2171,0.2311,0.2321,0.2251,0.2281,0.2281,0.2261,0.2201,0.2031,0.2171,0.2291,0.2201,0.2311,0.2201,0.2161,0.2231,0.2281,0.2361,0.2321,0.2271,0.2241,0.2361,0.2181,0.3371,0.2321,0.2181,0.2261,0.2241,0.2291,0.2321,0.2301,0.2341,0.2261,0.2211,0.2301,0.2291,0.2211,0.2361,0.2211,0.2331,0.2241
3,cBench,4,telecom_CRC32,0,0.3601,0.3831,0.3461,0.3441,0.3491,0.3801,0.3361,0.3751,0.3471,0.3541,0.3831,0.3741,0.3361,0.3741,0.3571,0.3671,0.3941,0.3741,0.4011,0.3521,0.3731,0.3371,0.3801,0.3651,0.3591,0.3741,0.3861,0.3531,0.3861,0.3571,0.3831,0.4181,0.3781,0.3701,0.3721,0.3701,0.3551,0.3791,0.3831,0.3561,0.3751,0.3941,0.3801,0.3991,0.4931,0.3921,0.3791,0.4031,0.3961,0.3821,0.4021,0.3881,0.4061,0.3891,0.3721,0.3311,0.3641,0.4041,0.3701,0.3941,0.3971,0.3731,0.3901,0.3831,0.3611,0.4041,0.3741,0.3951,0.3931,0.3801,0.3911,0.3901,0.3881,0.3931,0.3641,0.3811,0.3721,0.3881,0.3671,0.3831,0.3871,0.3741,0.3821,0.3861,0.3681,0.3841,0.3961,0.3931,0.3941,0.3841,0.3871,0.3951,0.3991,0.3951,0.3851,0.3581,0.3841,0.3861,0.3751,0.3951,0.3741,0.3711,0.3871,0.4041,0.3971,0.3901,0.3981,0.4061,0.4081,0.3771,0.4071,0.3991,0.3821,0.3991,0.4031,0.3971,0.3821,0.3851,0.3981,0.3981,0.3981,0.4061,0.3851,0.3891,0.3881,0.3831,0.4081,0.3871
4,cBench,5,telecom_CRC32,0,0.3491,0.3481,0.3701,0.3461,0.3431,0.3721,0.3561,0.3741,0.4181,0.3441,0.3751,0.3831,0.3391,0.3811,0.3591,0.3741,0.4071,0.3741,0.3691,0.3481,0.3701,0.3361,0.3761,0.3831,0.3351,0.3661,0.3881,0.3651,0.3801,0.4451,0.3791,0.3941,0.3851,0.4061,0.3481,0.3721,0.3551,0.3711,0.3671,0.3551,0.3801,0.3841,0.3751,0.3951,0.3541,0.3971,0.3731,0.3931,0.3961,0.3851,0.3651,0.3881,0.3991,0.3871,0.3741,0.3861,0.3701,0.3971,0.3741,0.3851,0.3891,0.3751,0.3891,0.3741,0.3521,0.4061,0.3781,0.3871,0.3891,0.3771,0.3951,0.3841,0.3871,0.3931,0.3551,0.3371,0.3831,0.3831,0.4101,0.3881,0.3831,0.3651,0.3821,0.3971,0.4061,0.3791,0.3891,0.4031,0.3961,0.3851,0.3901,0.4011,0.3791,0.4051,0.3771,0.4091,0.3771,0.3961,0.3901,0.3701,0.3791,0.3881,0.3861,0.3951,0.3881,0.4061,0.3911,0.3961,0.3801,0.3791,0.3641,0.3991,0.3971,0.3781,0.3881,0.3911,0.4051,0.3971,0.3871,0.3801,0.3791,0.3881,0.3951,0.4071,0.4121,0.3761,0.3971,0.3881
5,cBench,1,security_rijndael_d,0,0.0141,0.0141,0.0131,0.0131,0.0141,0.0121,0.0131,0.0091,0.0121,0.0131,0.0121,0.0141,0.0131,0.0141,0.0141,0.0131,0.0141,0.0121,0.0151,0.0131,0.0121,0.0121,0.0141,0.0121,0.0131,0.0131,0.0121,0.0141,0.0121,0.0141,0.0151,0.0131,0.0131,0.0151,0.0131,0.0141,0.0141,0.0151,0.0141,0.0141,0.0131,0.0111,0.0151,0.0151,0.0141,0.0131,0.0141,0.0121,0.0141,0.0131,0.0141,0.0111,0.0101,0.0141,0.0141,0.0141,0.0111,0.0121,0.0141,0.0131,0.0141,0.0141,0.0151,0.0151,0.0171,0.0111,0.0141,0.0131,0.0141,0.0121,0.0131,0.0141,0.0141,0.0161,0.0121,0.0131,0.0141,0.0131,0.0141,0.0131,0.0131,0.0141,0.0151,0.0131,0.0131,0.0131,0.0131,0.0131,0.0161,0.0151,0.0131,0.0141,0.0121,0.0141,0.0141,0.0141,0.0141,0.0121,0.0151,0.0111,0.0151,0.0141,0.0141,0.0141,0.0141,0.0131,0.0121,0.0161,0.0141,0.0131,0.0151,0.0141,0.0151,0.0111,0.0131,0.0131,0.0151,0.0141,0.0141,0.0141,0.0151,0.0151,0.0141,0.0111,0.0121,0.0151,0.0141,0.0141
6,cBench,2,security_rijndael_d,0,0.0731,0.0701,0.0701,0.0681,0.0741,0.0751,0.0711,0.0751,0.0761,0.0691,0.0711,0.0731,0.0681,0.0811,0.0681,0.0681,0.0721,0.0671,0.0751,0.0681,0.0741,0.0661,0.0741,0.0671,0.0661,0.0721,0.0661,0.0781,0.0731,0.0661,0.0641,0.0661,0.0711,0.0761,0.0701,0.0671,0.0691,0.0771,0.0701,0.0711,0.0761,0.0691,0.0721,0.0721,0.0671,0.0721,0.0691,0.0721,0.0691,0.0701,0.0771,0.0671,0.0761,0.0681,0.0681,0.0651,0.0731,0.0731,0.0701,0.0691,0.0701,0.0731,0.0761,0.0671,0.0711,0.0691,0.0731,0.0731,0.0671,0.0701,0.0721,0.0691,0.0791,0.0691,0.0651,0.0681,0.0741,0.0661,0.0731,0.0691,0.0741,0.0771,0.0771,0.0711,0.0711,0.0681,0.0721,0.0671,0.0781,0.0701,0.0731,0.0721,0.0721,0.0661,0.0661,0.0791,0.0701,0.0761,0.0741,0.0691,0.0691,0.0801,0.0671,0.0701,0.0721,0.0671,0.0781,0.0721,0.0681,0.0711,0.0771,0.0731,0.0721,0.0761,0.0691,0.0821,0.0731,0.0671,0.0781,0.0801,0.0671,0.0771,0.0821,0.0701,0.0791,0.0731,0.0751,0.0751
7,cBench,3,security_rijndael_d,0,0.1411,0.1581,0.1481,0.1491,0.1481,0.1451,0.1421,0.1701,0.1441,0.1461,0.1461,0.1451,0.1431,0.1601,0.1351,0.1441,0.1471,0.1471,0.1581,0.1431,0.1411,0.1361,0.1571,0.1641,0.1441,0.1541,0.1431,0.1581,0.1501,0.1411,0.1431,0.1391,0.1431,0.1491,0.1491,0.1441,0.1581,0.1601,0.1431,0.1441,0.1561,0.1451,0.1631,0.1561,0.1381,0.1431,0.1371,0.1581,0.1401,0.1471,0.1501,0.1451,0.1621,0.1511,0.1421,0.1471,0.1571,0.1401,0.1531,0.1541,0.1491,0.1581,0.1601,0.1491,0.1411,0.1441,0.1381,0.1601,0.1601,0.1401,0.1551,0.1451,0.1581,0.1541,0.1461,0.1491,0.1581,0.1451,0.1571,0.1501,0.1471,0.1571,0.1541,0.1471,0.1411,0.1451,0.1541,0.1441,0.1531,0.1481,0.1371,0.1581,0.1551,0.1491,0.1451,0.1521,0.1511,0.1431,0.1691,0.1401,0.1431,0.1551,0.1371,0.1541,0.1461,0.1401,0.1531,0.1471,0.1561,0.1451,0.1581,0.1591,0.1451,0.1661,0.1421,0.1541,0.1531,0.1431,0.1531,0.1541,0.1461,0.1661,0.1531,0.1501,0.1541,0.1551,0.1511,0.1601
8,cBench,4,security_rijndael_d,0,3.8831,3.9211,3.8371,3.9241,3.9011,3.9111,3.9911,4.3341,4.0121,4.0011,3.8811,3.9491,3.9871,4.2551,3.8571,3.8431,3.8171,3.8391,4.3351,3.9011,3.9111,3.9501,4.2371,3.8631,3.9101,4.1941,3.8211,4.2051,4.0321,3.7831,3.9381,3.8361,3.7981,4.2311,3.9381,3.9061,3.8831,4.2071,3.8771,3.8081,4.2091,3.7961,4.2411,4.1511,3.8951,3.8051,3.9821,4.1561,3.9481,3.8501,4.3921,3.7801,4.2151,4.0191,3.8891,3.9191,4.2511,4.0741,4.1841,4.0481,4.1371,4.2111,4.1951,4.0041,3.8351,3.7811,3.8711,4.2271,3.9521,3.7991,4.1771,3.9211,4.2201,4.0071,3.9761,3.9421,4.2231,3.8451,4.1831,3.9931,3.8121,4.2411,4.4551,3.9991,3.8411,3.8471,4.3951,3.8761,4.1681,4.0581,3.8091,4.1161,5.0621,3.9881,3.8371,4.2181,4.1331,4.0441,4.1291,3.7791,3.7871,4.1441,3.8791,4.1331,3.9801,3.8221,4.1191,4.1491,3.9681,3.8031,4.1891,4.3211,4.2201,4.4801,3.7921,4.1451,4.1211,4.0851,4.1541,4.1531,3.8031,4.1461,4.1231,4.0021,4.1281,4.1401,4.1811,4.1121
9,cBench,5,security_rijndael_d,0,0.2741,0.2901,0.3101,0.2731,0.2791,0.2921,0.2661,0.3001,0.2811,0.2621,0.2871,0.2751,0.2671,0.2781,0.2621,0.2721,0.2821,0.3141,0.3031,0.2821,0.2751,0.2671,0.3141,0.2801,0.2831,0.2861,0.2681,0.3191,0.2871,0.2641,0.2761,0.2731,0.2631,0.2901,0.2701,0.2901,0.2711,0.3161,0.2731,0.2661,0.2971,0.2661,0.2931,0.2971,0.2691,0.2731,0.2791,0.2841,0.2661,0.2621,0.2831,0.2871,0.2931,0.2851,0.2731,0.2821,0.2941,0.2771,0.2851,0.2811,0.2781,0.2851,0.2821,0.2831,0.2801,0.2651,0.2691,0.2911,0.2671,0.2711,0.2921,0.2581,0.2951,0.2961,0.2861,0.2651,0.3011,0.2691,0.2951,0.2811,0.2631,0.2921,0.3351,0.2791,0.2751,0.2711,0.2881,0.2691,0.2821,0.2921,0.2681,0.3231,0.2901,0.3191,0.2801,0.2971,0.3241,0.2961,0.2931,0.2771,0.2851,0.2881,0.2681,0.2891,0.2791,0.2611,0.2871,0.2961,0.2801,0.2761,0.3031,0.2851,0.3291,0.2891,0.2561,0.2871,0.3031,0.2741,0.3151,0.3121,0.2681,0.2881,0.2891,0.2781,0.2761,0.2841,0.2881,0.2981
