,benchmark,dataset,name,run,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,cBench,1,telecom_adpcm_c,0,0.0681,0.0601,0.0641,0.0521,0.0561,0.0441,0.0681,0.0561,0.0641,0.0641,0.0481,0.0561,0.0641,0.0721,0.0601,0.0721,0.0681,0.0521,0.0681,0.0441,0.0521,0.0481,0.0601,0.0441,0.0441,0.0441,0.0601,0.0561,0.0481,0.0641,0.0521,0.0601,0.0441,0.0721,0.0641,0.0561,0.0521,0.0641,0.0481,0.0601,0.0521,0.0561,0.0481,0.0481,0.0521,0.0641,0.0721,0.0761,0.0641,0.0601,0.0641,0.0521,0.0521,0.0521,0.0441,0.0441,0.0641,0.0561,0.0521,0.0441,0.0521,0.0441,0.0441,0.0601,0.0521,0.0641,0.0521,0.0721,0.0761,0.0561,0.0561,0.0481,0.0761,0.0521,0.0441,0.0441,0.0641,0.0441,0.0441,0.0441,0.0641,0.0601,0.0641,0.0481,0.0521,0.0521,0.0401,0.0601,0.0361,0.0641,0.0361,0.0721,0.0641,0.0841,0.0681,0.0521,0.0561,0.0441,0.0561,0.0641,0.0521,0.0601,0.0681,0.0521,0.0521,0.0561,0.0641,0.0601,0.0561,0.0521,0.0561,0.0441,0.0441,0.0561,0.0721,0.0641,0.0761,0.0721,0.0561,0.0561,0.0601,0.0521,0.0601,0.0761,0.0521,0.0641,0.0641,0.0601
1,cBench,2,telecom_adpcm_c,0,2.2201,2.3961,2.7721,2.2001,2.2481,2.3561,2.3681,2.2321,2.8641,2.2481,2.3841,2.2041,2.2081,2.1761,3.0721,2.7281,2.9361,2.6081,2.7681,2.2641,2.1081,2.0601,2.3041,2.1041,2.3801,2.2321,2.5481,2.0681,2.3001,2.7121,2.9201,2.9081,2.6281,3.0041,2.2721,2.2361,2.2441,2.2601,2.1681,2.2361,2.0401,2.3961,2.2281,2.2521,2.8881,2.9041,2.8601,2.7521,2.8841,2.8041,2.9121,2.6081,2.7721,2.6561,2.2481,2.0601,2.2761,2.2481,2.2561,2.2721,2.2561,2.1041,2.3121,2.0921,2.8361,2.8441,2.8761,2.7721,2.8881,2.9361,2.7081,2.6201,3.0041,2.7521,2.2761,2.2201,2.2401,2.2681,2.2441,2.1441,2.2561,2.2441,2.2201,2.2001,3.1121,2.8001,2.9921,2.8601,2.5681,2.9481,2.6721,2.9881,2.7281,2.6521,2.1041,2.0961,2.1041,2.3441,2.2521,2.8521,2.8481,2.7201,3.0801,2.7521,2.6161,2.8601,2.7241,2.7681,2.8001,2.4401,2.2521,2.2281,2.2561,2.2761,2.8641,2.7401,2.7481,2.7521,2.9961,2.6121,2.7121,2.5721,2.7481,2.5641,2.6161,2.0601,2.6641,2.7881
2,cBench,3,telecom_adpcm_c,0,0.2161,0.2081,0.1801,0.1881,0.1321,0.1921,0.1361,0.1801,0.2841,0.2001,0.1841,0.1921,0.2201,0.1881,0.2641,0.2641,0.2641,0.2561,0.2441,0.1641,0.2161,0.2041,0.1841,0.1961,0.2121,0.2041,0.1801,0.1881,0.1841,0.2601,0.2561,0.2521,0.2001,0.1641,0.1881,0.2121,0.1681,0.2121,0.2121,0.2041,0.2001,0.2161,0.1841,0.2001,0.2681,0.2761,0.2761,0.2481,0.2441,0.2801,0.2401,0.2641,0.2561,0.2441,0.1921,0.1841,0.1841,0.2121,0.2121,0.2121,0.1961,0.2121,0.1921,0.2041,0.2761,0.2761,0.2801,0.2521,0.1921,0.1761,0.1881,0.1641,0.2521,0.2441,0.2081,0.1401,0.2161,0.2161,0.2121,0.1841,0.2001,0.2121,0.2121,0.1961,0.2601,0.2681,0.2281,0.2681,0.2521,0.2801,0.2721,0.2321,0.2521,0.2601,0.1961,0.2121,0.1841,0.2001,0.2041,0.2561,0.2601,0.2521,0.2721,0.2401,0.2281,0.1841,0.2401,0.2281,0.1641,0.2041,0.1841,0.2121,0.2081,0.1841,0.2601,0.2801,0.2521,0.2521,0.2481,0.2041,0.2761,0.2441,0.2281,0.2521,0.2521,0.2161,0.2561,0.2521
3,cBench,4,telecom_adpcm_c,0,0.3521,0.3681,0.4601,0.3401,0.3321,0.3641,0.3601,0.3161,0.4601,0.3481,0.3441,0.3681,0.3561,0.3241,0.4401,0.4561,0.4561,0.4201,0.4361,0.2921,0.3241,0.3481,0.3321,0.3481,0.3521,0.3401,0.3681,0.2881,0.2481,0.4561,0.4561,0.3761,0.4161,0.3361,0.3521,0.2801,0.3481,0.3481,0.3281,0.2761,0.2241,0.2361,0.2241,0.3361,0.3001,0.3561,0.3001,0.4601,0.3641,0.4561,0.4161,0.4001,0.4401,0.4281,0.3481,0.2281,0.2881,0.2361,0.2641,0.3481,0.3361,0.3361,0.3401,0.3041,0.3601,0.4481,0.4401,0.3961,0.3521,0.3001,0.3121,0.2761,0.2881,0.4361,0.3441,0.2321,0.2801,0.3281,0.3441,0.3281,0.3241,0.3521,0.3441,0.3201,0.4601,0.4521,0.4161,0.4601,0.4321,0.3961,0.3001,0.3241,0.3361,0.2881,0.3481,0.2641,0.3601,0.3521,0.3481,0.4601,0.4441,0.4241,0.4441,0.4321,0.4321,0.4681,0.3401,0.3001,0.4401,0.2681,0.3361,0.3401,0.3521,0.3481,0.4561,0.3081,0.4281,0.4321,0.3001,0.2801,0.4561,0.4161,0.4321,0.4281,0.4441,0.3521,0.4321,0.4001
4,cBench,5,telecom_adpcm_c,0,0.3001,0.3001,0.4601,0.2881,0.3521,0.3801,0.3641,0.3241,0.4721,0.3481,0.3361,0.3601,0.2521,0.3161,0.3641,0.4161,0.3761,0.2881,0.2881,0.2281,0.3561,0.2321,0.3561,0.2921,0.3521,0.3521,0.3481,0.3321,0.3401,0.4641,0.4601,0.4721,0.4121,0.2881,0.2401,0.3681,0.3001,0.2281,0.3601,0.3601,0.2561,0.3681,0.3121,0.3281,0.4721,0.4841,0.4681,0.4321,0.3801,0.3081,0.4121,0.3241,0.2881,0.2881,0.2881,0.3521,0.3201,0.2881,0.2561,0.3361,0.3561,0.3401,0.3601,0.3161,0.3361,0.4681,0.4601,0.4121,0.3521,0.4601,0.3401,0.4281,0.3361,0.4281,0.3641,0.3601,0.3401,0.2881,0.3441,0.3601,0.3561,0.3481,0.3081,0.2521,0.4761,0.4721,0.3521,0.3601,0.4241,0.4121,0.4681,0.4281,0.4401,0.4241,0.3481,0.3361,0.3441,0.3361,0.2881,0.3681,0.3721,0.4321,0.5001,0.4241,0.4321,0.3281,0.4321,0.2841,0.3081,0.3561,0.3561,0.3561,0.3521,0.3401,0.4721,0.3241,0.2841,0.4161,0.3361,0.3361,0.4601,0.4361,0.4281,0.4161,0.4201,0.3281,0.4281,0.4201
5,cBench,1,security_blowfish_e,0,0.0041,0.0041,0.0121,0.0041,0.0081,0.0081,0.0041,0.0081,0.0081,0.0081,0.0041,0.0041,0.0081,0.0081,0.0041,0.0121,0.0081,0.0121,0.0041,0.0081,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0081,0.0041,0.0041,0.0041,0.0041,0.0001,0.0081,0.0081,0.0081,0.0041,0.0041,0.0041,0.0041,0.0041,0.0081,0.0081,0.0081,0.0041,0.0041,0.0041,0.0081,0.0081,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0081,0.0041,0.0081,0.0081,0.0041,0.0081,0.0041,0.0081,0.0081,0.0041,0.0081,0.0041,0.0081,0.0081,0.0081,0.0041,0.0081,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0081,0.0041,0.0081,0.0081,0.0041,0.0081,0.0041,0.0041,0.0081,0.0041,0.0081,0.0041,0.0041,0.0041,0.0001,0.0001,0.0041,0.0041,0.0001,0.0041,0.0041,0.0041,0.0081,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0081,0.0041,0.0081,0.0041,0.0041,0.0081,0.0081,0.0041,0.0041,0.0041,0.0041,0.0081,0.0041,0.0081,0.0081,0.0041
6,cBench,2,security_blowfish_e,0,0.0761,0.0681,0.0761,0.0801,0.0841,0.0681,0.0801,0.0641,0.0881,0.0681,0.0641,0.0881,0.0801,0.0721,0.0841,0.0681,0.0921,0.0801,0.0801,0.0641,0.0881,0.0721,0.0641,0.0921,0.0881,0.0881,0.0641,0.0881,0.0921,0.0801,0.0681,0.0681,0.0441,0.0841,0.0641,0.0761,0.0441,0.0681,0.0641,0.0641,0.0641,0.0681,0.0641,0.0881,0.0641,0.0841,0.0561,0.0761,0.0721,0.0641,0.0801,0.0601,0.0841,0.0721,0.0841,0.0801,0.0521,0.0841,0.0681,0.0441,0.0681,0.0881,0.0801,0.0841,0.0801,0.0961,0.0721,0.0881,0.0761,0.0801,0.0641,0.0761,0.0881,0.0881,0.0681,0.0841,0.0881,0.0561,0.0641,0.0521,0.0561,0.0721,0.0881,0.0721,0.0801,0.0641,0.0761,0.0761,0.0921,0.0761,0.0641,0.0761,0.0681,0.0601,0.0801,0.0641,0.0841,0.0841,0.0881,0.0761,0.0881,0.0641,0.0761,0.0641,0.0601,0.0881,0.0681,0.0881,0.0601,0.0841,0.0841,0.0761,0.0601,0.0801,0.0761,0.0641,0.0921,0.0761,0.0761,0.0721,0.0801,0.0801,0.0841,0.0761,0.0441,0.0761,0.0721,0.0841
7,cBench,3,security_blowfish_e,0,0.1041,0.1721,0.1521,0.1761,0.1761,0.1601,0.1721,0.1761,0.1641,0.1601,0.1641,0.1681,0.1641,0.1721,0.1801,0.1801,0.1721,0.1801,0.1601,0.1441,0.1441,0.1641,0.1601,0.1601,0.1721,0.1681,0.1761,0.1761,0.1801,0.1801,0.1761,0.1641,0.1681,0.1641,0.1841,0.1721,0.1561,0.1801,0.1721,0.1641,0.1681,0.1201,0.1161,0.1481,0.1641,0.1881,0.1481,0.1561,0.1841,0.1561,0.1841,0.1601,0.1761,0.1561,0.1801,0.1481,0.1761,0.1601,0.1521,0.1481,0.1441,0.1721,0.1721,0.1041,0.1641,0.1761,0.1721,0.1721,0.1721,0.1481,0.1881,0.1561,0.1641,0.1681,0.1681,0.1561,0.1681,0.1601,0.1841,0.1601,0.1761,0.1681,0.1601,0.1481,0.1721,0.1201,0.1641,0.1481,0.1641,0.1721,0.1641,0.1641,0.1561,0.1761,0.1761,0.1801,0.1641,0.1601,0.1721,0.1681,0.1601,0.1721,0.1481,0.1601,0.1681,0.1721,0.1441,0.1521,0.1721,0.1561,0.1121,0.1561,0.1121,0.1721,0.1801,0.1841,0.1641,0.1721,0.1241,0.1521,0.1681,0.1761,0.1761,0.1641,0.1801,0.1721,0.1121,0.1641
8,cBench,4,security_blowfish_e,0,3.4281,3.4641,3.4561,3.6041,3.5681,3.4321,3.4721,3.2641,3.2961,3.5601,3.3801,3.4081,3.4041,3.3761,3.5961,3.6041,3.2921,3.3441,3.3041,3.4361,3.3801,3.3201,3.4121,3.5521,3.2721,3.3801,3.6241,3.4601,3.4521,3.5481,3.5481,3.5001,3.3881,3.7881,3.5601,3.5681,3.2681,3.5481,3.4881,3.2761,3.4201,3.4601,3.4721,3.4001,3.5041,3.6001,3.3481,3.6321,3.6001,3.3481,3.4321,3.2081,3.3561,3.4521,3.4641,3.3281,3.4161,3.2801,3.4441,3.2601,3.4441,3.5721,3.4321,3.2561,3.6161,3.5521,3.5401,3.5961,3.6161,3.4441,3.4281,3.2121,3.3521,3.4161,3.6241,3.4441,3.6001,3.3921,3.4921,3.2481,3.2401,3.6041,3.2361,3.2961,3.4681,3.4241,3.5801,3.3721,3.6161,3.3201,3.2921,3.4641,3.3001,3.2481,3.3361,3.5761,3.3961,3.4561,3.2721,3.4641,3.4641,3.4601,3.4121,3.6201,3.3521,3.3161,3.6361,3.4561,3.3841,3.4321,3.3761,3.4401,3.2361,3.4241,3.3561,3.4681,3.5121,3.3441,3.4881,3.2441,3.3121,3.6041,3.2961,3.3001,3.4841,3.4201,3.6281,3.4961
9,cBench,5,security_blowfish_e,0,0.3241,0.3081,0.3121,0.3321,0.2761,0.2241,0.2081,0.2601,0.3081,0.3281,0.3161,0.2961,0.3161,0.3121,0.2161,0.2481,0.3041,0.3201,0.3241,0.3201,0.3281,0.3121,0.3041,0.3321,0.2961,0.3281,0.3241,0.3081,0.3001,0.3241,0.3321,0.3201,0.2681,0.2121,0.2641,0.3321,0.3041,0.3241,0.3121,0.3201,0.3161,0.3121,0.3201,0.3161,0.3281,0.3161,0.3161,0.3361,0.3241,0.3161,0.3401,0.3041,0.3281,0.3201,0.3121,0.3121,0.3321,0.3081,0.2161,0.2361,0.2961,0.3161,0.3081,0.3401,0.3081,0.3321,0.3201,0.3321,0.3281,0.3241,0.3281,0.2961,0.2641,0.3081,0.3041,0.3201,0.3321,0.3121,0.3201,0.3041,0.3201,0.3121,0.3121,0.3081,0.3361,0.3121,0.3281,0.3241,0.3201,0.2521,0.3121,0.3281,0.3121,0.3161,0.3081,0.3241,0.3001,0.3201,0.3041,0.2641,0.2681,0.3321,0.3041,0.2721,0.2081,0.3121,0.3281,0.3281,0.3081,0.3001,0.3041,0.3201,0.3121,0.3241,0.2761,0.2481,0.3041,0.3041,0.3161,0.3241,0.3001,0.2241,0.3241,0.3241,0.2241,0.2041,0.2441,0.2841
